Name,type,image,No of ratings,average rating,about,address
14. Cubbon Park,Parks,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/d8/95/4b/excellent-for-morning.jpg?w=500&h=-1&s=1,"2,477",4,"Cubbon Park dons many hats: a green lung in the heart of the city that also hosts a library, museums, a tennis academy, an aquarium, a toy train and many statues and pavilions. It’s probably one of the only parks to have a busy road cutting through it. In the wee hours of the morning or evenings, it’s a jogger’s paradise. Spring adds to the beauty of this park, with the lovely and colorful Tabebuia trees in full bloom.","Kasturba Road, Behind High Court of Karnataka Ambedkar Veedhi, Sampangi Rama Nagara, Bengaluru, Karnataka 560001"
15. Taj Mahal,Historic Sites • Points of Interest & Landmarks,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/9a/30/d6/agra.jpg?w=500&h=400&s=1,"31,685",5,"An immense mausoleum of white marble, built in Agra between 1631 and 1648 by order of the Mughal emperor Shah Jahan in memory of his favourite wife, the Taj Mahal is the jewel of Muslim art in India and one of the universally admired masterpieces of the world's heritage.","Dharmapuri, Forest Colony, Tajganj, Agra 282001 India"
16. Tirumala Temple,Historic Sites • Religious Sites,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/fa/e0/29/tirumala-temple.jpg?w=500&h=-1&s=1,"2,548",4.5,Tirumala is a census town in Chittoor district of the Indian state of Andhra Pradesh. The town is a part of Tirupati Urban Development Authority and located in Tirupati mandal of Tirupati revenue division.,"chittoor, Andhra pradesh 517504, India"
17. Borra Caves,Caverns & Caves,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/9d/80/6a/borra-caves.jpg?w=500&h=-1&s=1,"1,301",4.5,"The Borra Caves, also called Borra Guhalu, are located on the East Coast of India, in the Ananthagiri hills of the Araku Valley (with hill ranges' elevation varying from 800 to 1,300 m (2,600 to 4,300 ft)) of the Visakhapatnam district in Andhra Pradesh","Visakhapatnam, Andhra Pradesh 531149 India"
18. Mysuru Palace,Castles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/40/63/77/the-palace-after-the.jpg?w=500&h=400&s=1,"6,229",4.5,This 1912 structure is one of the largest palaces in the country and contains art from around the world.,"Sayyaji Rao Rd Agrahara, Chamrajpura, Mysuru (Mysore) 570001 India"
19. Swaminarayan Akshardham,Religious Sites • Gardens,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/23/c6/0f/img-20160507-135554-largejpg.jpg?w=500&h=400&s=1,"11,821",4.5,"Fantastic site to visit - unimaginable architechture, great theme show, diaorama and I max presentation. If any tourist, irresepctive of his religion or creed, has half a day to spare, this is a must see. It is one man's creation in five years totally with voluntary support. A monument which makes every indian proud!","Nh 24 Akshardham Setu, New Delhi 110092 India"
20. Sree Padmanabhaswamy Temple,Architectural Buildings • Religious Sites,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/fe/2b/f3/sree-padmanabhaswamy.jpg?w=500&h=400&s=1,"2,589",4.5,A Vishnu temple with a massive fort gateway has been built in Dravidian style and is closed to non-Hindus.,"Manjalikulam Road W Nada, East Fort, Thiruvananthapuram (Trivandrum) 695023 India"
21. Bagore Ki Haveli Museum,History Museums,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/47/25/1d/bagore-ki-haveli.jpg?w=500&h=400&s=1,"3,154",4.5,"Bagore-ki-Haveli is a haveli in Udaipur in Rajasthan state in India. It is right on the waterfront of Lake Pichola at Gangori Ghat. Amar Chand Badwa, the Prime Minister of Mewar, built it in the eighteenth century","Gangaur Ghat Marg Hotel Gangaur Palace, Udaipur 313001 India"
22. Mangeshi Temple,Religious Sites,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/49/d0/cd/img-20181107-235325-largejpg.jpg?w=500&h=400&s=1,375,4.5,"Shri Mangesh temple (Devanagari: श्री मंगेश मंदीर) is located at Mangeshi Village in Priol, Ponda taluk, Goa.It is at a distance of 1 km from Mardol close to Nagueshi, 21 km from Panaji the capital of Goa,and 26 km from Margao.This temple is one of the largest and most frequently visited temples in Goa. In 2011, the temple along with others in the area instituted a dress code on visitors of the temple","Dinanath Mangeshkar Rd, Mangeshi village, Mardol, Goa 403401 India"
23. Paradise Beach,Beaches,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/fa/d8/fd/photo2jpg.jpg?w=500&h=-1&s=1,"2,342",4,The most attractive aspect of Paradise beach is its calm and clean environment. This beach is the perfect location for spending a holiday along the glistening waters and the palm trees. A large number of huts spread across the beach provides shelter in rain and strong winds.,"Chinnayanpeth Main Road 8 Km away from Town, Pondicherry 605013 India"
24. Ganges River,Bodies of Water,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/2e/83/cc/photo4jpg.jpg?w=500&h=-1&s=1,"4,979",4.5,"The Ganges is a trans-boundary river of Asia which flows through India and Bangladesh. The 2,525 km river rises in the western Himalayas in the Indian state of Uttarakhand.","Devprayag, the beginning of the main stem of the Ganges,Uttarakhand 263001 India"
25. Sula Vineyards,Wineries & Vineyards,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/3f/8e/3d/a-view-from-the-vineyards.jpg?w=500&h=400&s=1,"1,800",4,"Welcome to the heart of Sula, the very place our wines begin their journey from grape to your glass. India's leading producer of wines, Sula Vineyards is located amidst the rolling hills of Nashik overlooking the Gangapur Dam. A visit to our vineyards and winery is an enjoyable experience for people of all ages. Indulge in an exclusive, all-access tour of our winery followed by a wine tasting session. Unwind with a glass or two at The Tasting Room overlooking the vineyards with panoramic views of the Gangapur lake. Have lunch at one of our restaurants and stay back at the gorgeous ‘Source at Sula’, India’s first heritage winery resort, with a Tuscan twist or 'Beyond by Sula' that houses a world-class infinity pool -- it’s the perfect weekend getaway with your loved ones!","Govardhan Village Gat 36/2 Gangapur-Savargaon Road, Nashik 422222 India"
26. Nilgiri Mountain Railway,Scenic Railroads,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/02/d6/46/0c/nilgiri-mountain-railway.jpg?w=500&h=-1&s=1,"1,591",4,"The Nilgiri Mountain Railway is a 1,000 mm metre gauge railway in Tamil Nadu, India, built by the British in 1908. The railway is operated by the Southern Railway and is the only rack railway in India. The railway relies on its fleet of steam locomotives.","Nilgiri Hills,Tamil Nadu 643103, India"
27. Wonderla Amusement Park,Amusement & Theme Parks,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/47/a2/f7/wonderla-amusement-park.jpg?w=500&h=400&s=1,"4,233",4.5,"Wonderla Holidays Limited, is the No. 1 amusement park operator in India. Promoted by Arun K. Chittilappilly and Kochouseph Chittilappilly, Wonderla currently owns and operates three amusement parks – one each in Kochi, Bangalore and Hyderabad respectively and a resort in Bangalore. Wonderla Kochi, spread over 35 acres of land, is thrilling visitors with 56 rides since 2000. Wonderla Bangalore, spanning over 82 acres, offers a spectacular range of entertainment with 61 rides. Wonderla Hyderabad, the latest edition in the portfolio, is spread over 50 acres and offers 43 attractions. Wonderla Amusement Park has been ranked No. 1 in India and No. 6 in Asia by TripAdvisor for 5 consecutive years. Wonderla Resort, located beside the amusement park in Bangalore, comprises of 84 luxury rooms, with amenities including 4 full-fledged banquet halls, multi cuisine restaurant, rest-o-bar and recreational facilities like a heated swimming pool, kid’s activity centre & a full fledged gym.","28th km Mysore Road, Bengaluru 562109 India"
28. Della Adventure Park,Amusement & Theme Parks,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/90/58/9b/atv-200cc-polaris-get.jpg?w=500&h=400&s=1,"4,216",4.5,"Della Adventure Park is India’s Largest Extreme Adventure park with 50 plus adventure activities. Experience India’s only Swoop swing(100 ft.), India’s Longest Flying Fox(1250ft.), 5 kinds of zorbing and 700cc yamaha raptor ATV only at Della Adventure, Lonavala. Make sure you do not miss out on adrenaline-pumping adventure activities like Archery, Rocket Ejector, Motocross dirt bike riding, Buggy Ride, Paintball and Rappelling. Della Adventure Park in Lonavala is one of the best weekend getaways near Mumbai and Pune, it has everything to keep you excited with its various adventure activities for individuals as well as for groups.","Kunegaon, Lonavala 410401 India"
29. Golden Temple,Religious Sites,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/e7/47/b5/this-sanctum-sanctorum.jpg?w=500&h=400&s=1,"9,118",5,"The Golden Temple, Sri Harimandir Sahib is not only a central religious place of the Sikhs, but also a symbol of human brotherhood and equality","Golden Temple Road Atta Mandi, Katra Ahluwalia, Amritsar 143001 India"
30. DLF Mall Of India,Shopping Malls,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/7f/51/43/5-shopping-zones-330.jpg?w=500&h=400&s=1,835,4.5,"Spread over 2 million sq. ft. (GLA), DLF Mall of India is the largest mall in the country. DLF Mall of India has introduced many firsts to the industry; the mall has introduced the unique concept of ‘Zoning’ for the first time in India. As an intelligently zoned mall, DLF Mall of India offers a perfect mix of retail offerings spread across five zones and 6 floors. The zones are defined as Market Place on lower ground floor, International Boulevard on ground and first floor, The High Street on the second floor, Family World on third floor and Leisure Land on the top two levels i.e. fourth and fifth floor. Strategically located in the heart of Noida in sector 18, DLF Mall of India houses 350 brands under its roof, which will include 18 Anchors, more than 100 fashion brands, 14 kids fashion brands and 73 food & beverages options. With its sheer size and scale, innovative zoning strategy and ease of location with excellent connectivity, DLF Mall of India redefines the way retail is perceived in India.","Plot No – M 03, Sector 18, Noida 201301 India"
31. Mother House,Points of Interest & Landmarks,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/60/d1/ad/calm-place.jpg?w=500&h=-1&s=1,"1,579",4.4,The Mother House is the Head Quarter of the Missionaries of Charity that pulls thousands of visitors from all around the world.," Acharya Jagadish Chandra Bose Rd, Maula Ali, Beniapukur, Kolkata, West Bengal, 700014, India"
32. Shri Omkareshwar Jyotirlinga,Points of Interest & Landmarks,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/d6/2e/3a/shri-omkareshwar-jyotirlinga.jpg?w=500&h=400&s=1,951,4.5,"Omkareshwar Jyotirlinga a shiv temple on Omkar mountain an island in mid Narmada, revered Hindu temple is the center of extreme faith. There are 12 jyotirlinga temples in world and omkareshwar is one fo them.","Khandwa, ShivPuri Khandwa, Indore 450554 India"
33. Triveni Ghat,Religious Sites,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/a9/84/bb/triveni-ghaat-entrance.jpg?w=500&h=-1&s=1,"1,685",4.5,"Triveni Ghat is a ghat situated in Rishikesh, Uttarakhand. It is the biggest and most famous ghat in Rishikesh at the banks of Ganges. Triveni Ghat remains overcrowded with devotee to take ritual baths to get cleansed from their sins. It is believed that the ghat was visited by Lord Krishna when he got hurt by the arrow of Jara – a hunter. ","Jairam Ashram Marg, Triveni ghaat, Rishikesh, Uttarakhand 249201"
34. Fontainhas,Neighbourhoods,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/d6/eb/9d/katu-nakymaa.jpg?w=500&h=400&s=1,427,4.5,"Fontainhas, the capital of Panjim’s Latin quarter, is known for narrow lanes full of colorful Portuguese villas with balconies and red-tiled roofs. The 1800s St. Sebastian’s Chapel is a whitewashed, 3-tiered church, and the chic Gallery Gitanjali shows contemporary art and hosts cultural events.","Ilhas de Goa,North Goa,Goa 403517 India"
35. The Rock Garden of Chandigarh,Parks,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/4c/43/64/the-rock-garden-of-chandigarh.jpg?w=500&h=400&s=1,"3,402",4.5,"The Rock Garden of Chandigarh is a sculpture garden for rock enthusiasts in Chandigarh, India. It is also known as Nek Chand Saini's Rock Garden after its founder Nek Chand Saini, a government official who started the garden secretly in his spare time in 1957. Today it is spread over an area of 40 acres","Sector 1, Chandigarh, 160001 India"
36. Art of Living International Center,Yoga & Pilates • Educational sites,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/a0/f7/8d/art-of-living-international.jpg?w=500&h=400&s=1,"1,226",4.5,"Welcome to The Art of Living International Centre! Situated on the top of the Panchagiri Hills, 36km southwest of Bangalore, near Udipalya village, the campus is an ideal location for reflection and rejuvenation. Started in 1986 and spread over 65 acres, the campus has an abundance of flowering foliage spread along winding footpaths, a peaceful lake and the exquisitely beautiful Vishalakshi Mantap, the central meditation hall. Satsangs, held every evening, are gatherings where different minds unite through music, meditation, and wisdom to experience an elevated state of consciousness. Through Seva (voluntary service) one can experience the humble satisfaction of doing selfless work here, from serving food in the kitchen to keeping the premises clean to working in the various departments that focus on various projects and the ashram's upkeep. The Vishalakshi Mantap, named after 'Amma', Sri Sri's mother, is the main Meditation Hall in the form of a fully blossomed 1000 petal lotus. Its reflective dome that mirrors the sun during the day is lit up at night to a synchronized change of colored lights. The dome and golden spire that can be viewed from all parts of the sprawling campus grounds play the role of a compass - lending a sense of navigation to the spiritual seeker. Courses are held in various rooms at different levels of the mantap and satsangs are held on the main level. Each level opens onto a gallery. Following a circular design, the levels provide an excellent view of the campus grounds and the open grounds and hills in the distance. Built on a smaller scale, is the Sumeru Mantap in the more secluded, old ashram campus. When the campus was newly set up, and there was a much smaller gathering of people, satsangs were held here. It is a circular 3 tiered gallery with a garden in the center and the sky for a roof, dominated by a large densely foliaged banyan tree in the center. The Radha Kund gardens recapture the mystical garden of Vrindavan, replete with a pair of elephants, a pair of geese, a deer, some rabbits and a number of exotic birds! This is an excellent place to observe various birds as they sweep over the lake - and a good place to unwind, reflect and take stock of one's life. From the gardens one can hear the Sanskrit chantings of the boys at the Gurukul nearby. The seven year training program at the Gurukul teaches students how to conduct temple rituals. The course syllabus also includes study of the Veda, Agama, Sanskrit, Astrology, Yoga, music, Sculpture, Epics and scriptures. The Goshala, home to over 250 cows, is an important project undertaken to preserve the native breed of Indian cows. The cows enjoy human company and visitors receive great pleasure brushing and petting the cows. For those who wish to simply relax, The Sri Sri Ayurveda Panchakarma (Wellness Spa) offers the ideal retreat for body and mind. Apart from the super ambience and food, one can select from a number of rejuvenating therapy packages the spa offers. On campus is a very popular, vibrant eatery, The Vishala Cafe that serves Indian and Continental fast food. It is here that youngsters like to meet, relax, exchange ideas, play the piano or eat a filling meal while reading from the selection of books displayed at the cafe. An array of shops are also present on campus - two Divine shops (selling music and books), The Divine Services (a provision store), Madhurya (traditional artefacts, gifts), Sri Kriti (a boutique that sells hand made products by rural women and traditional craftmen) and Sri Sri Agriculture with its fresh produce of fruits and vegetables grown on campus. The Bangalore Campus makes for a truly self-contained retreat - your home away from home! Read more","21st Km Kanakapura Road Udayapura, Bengaluru 560082 India"
37. Bara Imambara,Architectural Buildings • Monuments & Statues,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/2e/0d/c4/snapchat-753121482-largejpg.jpg?w=500&h=400&s=1,"1,507",4.5,"Bara Imambara, also known as Asfi Imambara is an imambara complex in Lucknow, India built by Asaf-ud-Daula, Nawab of Awadh in 1784. Bara means big. This imambara is the second largest after the Nizamat Imambara.","Husainabad Trust Rd, Machchhi Bhavan, Lucknow, Uttar Pradesh 226003 India"
38. Saptashrungi,Religious Sites,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/0f/96/35/saptashrungi.jpg?w=500&h=-1&s=1,281,4.5,"Saptashrungi or Saptashringi (Marathi: सप्तश्रृंगी, Saptaśrr̥ṇgī) is a site of Hindu pilgrimage situated 60 kilometres (37 mi) from Nashik in Indian state of Maharashtra. According to Hindu traditions, the goddess Saptashrungi Nivasini dwells within the seven mountain peaks.","Satpur Gangapur Road Vani, Nashik 422215 India"
39. City Palace of Udaipur,Architectural Buildings • History Museums,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/2b/f0/f7/img-20181018-104236-01.jpg?w=500&h=-1&s=1,"9,206",4.5,"City Palace, Udaipur is a palace complex situated in the city of Udaipur in the Indian state of Rajasthan. It was built over a period of nearly 400 years, with contributions from several rulers of the Mewar dynasty. Its construction began in 1553, started by Maharana Udai Singh II of the Sisodia Rajput family as he shifted his capital from the erstwhile Chittor to the newfound city of Udaipur.","Jagdish Temple Rd City Palace Complex, Udaipur 313001 India"
40. Swaminarayan Temple,Points of Interest & Landmarks,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/ab/d6/b6/imag6836-largejpg.jpg?w=500&h=400&s=1,164,4.5,"It is the first Temple of the Swaminarayan Sampraday, a Hindu sect. It is located in Kalupur area of Ahmedabad, the largest city in Gujarat, India. It was built on the instructions of Swaminarayan, the founder of the sect.","Kalupur area of Ahmedabad,Gujrat 380001 India."
41. Solang Valley,Valleys,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/b2/79/37/solang-valley-manali.jpg?w=500&h=400&s=1,"3,090",4,"Solang Valley derives its name from combination of words Solang and Nallah. It is a side valley at the top of the Kullu Valley in Himachal Pradesh, India 14 km northwest of the resort town Manali on the way to Rohtang Pass, and is known for its summer and winter sport conditions","14 km northwest of the resort town Manali on the way to Rohtang Pass,Manali 175131 India"
42. Lukshmi Vilas Palace,Architectural Buildings • Castles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/52/24/3b/lukshmi-vilas-palace.jpg?w=500&h=400&s=1,"1,302",4.5,"Lukshmi Villas Palace is the Official residence of the Maharaja Of Baroda.The royal family still resides in this magnificent palace builtin 1889.A part of the palace is open for visitors during the day 10 am to 5 pm. Mondays is the weekly off day. Weekends can get crowded , so best to come on any other day.The ticket cost Rs. 200 And it includes a complimentary audio tour guide in either english , hindi & marathi.Photographs inside the palace are not permitted. The tour takes about an hour. Water & other cold beverages are available at a charge for visitors Read more","Jawaharlal Nehru Marg, Vadodara 390001 India"
43. Dakshineswar Kali Temple,Points of Interest & Landmarks • Religious Sites,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/0f/f6/bf/dakshineswar-kali-temple.jpg?w=500&h=400&s=1,"2,928",4.5,"Dakshineswar Kali Temple is a Hindu navaratna temple located at Dakshineswar, Kolkata, West Bengal, India. Situated on the eastern bank of the Hooghly River, the presiding deity of the temple is Bhavatarini, a form of Parashakti Adya Kali, otherwise known as Adishakti Kalika.","Near Bali Bridge P.O. :Alambazar, Kolkata (Calcutta) 700035 India"
44. Tea Gardens,Gardens,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/e9/52/a2/sunset-at-tata-tea-gardens.jpg?w=500&h=-1&s=1,"3,399",4.5,"A tea garden is a garden where tea and light refreshments are served, a tea plantation, or any garden with which the drinking of tea is associated. Often a peaceful place for a stroll or social event, the tea garden is a smaller form of a pleasure garden.","Tea Museum Road,Idukki, Munnar 685612 India"
45. Seawoods Grand Central Mall,Shopping Malls,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/7e/7e/a5/entrance.jpg?w=500&h=400&s=1,174,4.5,"Spreading over 1 million sq. ft., Seawoods Grand Central Mall is located in Navi Mumbai and promises you the most convenient day out. The mall offers an indulgent shopping experience with over 500 international and national brands, multiple entertainment zones and some of the best restaurants around. Over the last 2 years, it has become a community centre where people from all over the city come together to enhance their happyness quotient. And can soon enhance their entertainment quotients in 4DX and IMAX. Seawoods Grand Central Mall is all about making your experience premium, exclusive, fun, and above all, full of happyness! Read more","Seawoods Station Road Near Railwaty Station, Sector 40, Navi Mumbai 400706 India"
46. Upvan Lake,Bodies of Water,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/97/e1/cb/upvan-lake.jpg?w=500&h=-1&s=1,401,4,Upvan Lake is located in Thane in the Indian state of Maharashtra. It is known for hosting the Sanskruti Arts Festival. Here one can also view thousands of Ganpati idols which are brought here for immersion on final day of Ganeshotsav. It was founded and reconstructed by J.K. Singhania for water supply.,"Upvan Lake Road End Of 1st and 2nd Pokharan Rd, Thane 400607 India"
47. Lake Pichola,Bodies of Water,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/77/15/9a/photo0jpg.jpg?w=500&h=-1&s=1,"6,261",4.5,"Lake Pichola, situated in Udaipur city in the Indian state of Rajasthan, is an artificial fresh water lake, created in the year 1362 AD, named after the nearby Picholi village. It is one of the several contiguous lakes, and developed over the last few centuries in and around the famous Udaipur city","udaipur city, rajasthan 313001 India"
48. Tsomgo Lake,City Tours • Bodies of Water,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/cd/ac/a3/tsomgo-lake.jpg?w=500&h=400&s=1,"3,636",5,"Tsomgo Lake, also known as Tsongmo Lake or Changgu Lake, is a glacial lake in the East Sikkim district of the Indian state of Sikkim, some 40 kilometres from the capital Gangtok. Located at an elevation of 3,753 m, the lake remains frozen during the winter season.","Nathula, Tsomgo Lake, Gangtok, Sikkim 737101, India"
49. Lalbagh Botanical Garden,Gardens,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/7d/47/f4/lalbagh-botanical-garden.jpg?w=500&h=400&s=1,"6,166",4,"Lalbagh Botanical Garden or shortened Lalbagh, is an old botanical garden in Bengaluru, India. First planned and laid out during the dalavaiship of Hyder Ali and later managed under numerous British Superintendents before Indian Independence.","Lalbagh, Bengaluru 560004 India"
50. Gurudwara Bangla Sahib,Historic Sites • Religious Sites,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/a5/ca/ae/a-divine-monument.jpg?w=500&h=400&s=1,"6,794",4.5,"Gurudwara Bangla Sahib (About this soundlisten) is one of the most prominent Sikh gurdwara, or Sikh house of worship, in Delhi, India, and known for its association with the eighth Sikh Guru, Guru Har Krishan, as well as the holy pond inside its complex, known as the ""Sarovar.""","Ashoka Road Connaught Place, New Delhi 110001 India"
